4.65,-69.1,2025-06-24,12:34:56,0,6,1.57,0,0,90,158.5,56.62,94.22,50.89,3.36,1002.66,24.89
4.73726,-69.1008,2025-06-24,12:34:56,0.1,9,0.82,1.31,0.22,91.14,167.42,83.66,24.3,66.38,3,954.33,23.84
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.8,2.61,0.44,92.28,16.89,105.23,158.45,60.16,2.95,987.58,33.98
4.91168,-69.1069,2025-06-24,12:34:56,0.3,8,1.16,3.91,0.66,93.42,4.43,162.96,0.21,164.13,1.33,1003.66,27.74
4.99878,-69.1122,2025-06-24,12:34:56,0.4,12,0.95,5.2,0.88,94.56,137.49,170.04,161.45,76.09,4.08,1038.61,24.76
5.08578,-69.119,2025-06-24,12:34:56,0.5,12,1.08,6.47,1.1,95.7,89.91,68.71,161.98,53.37,-1.72,1038.2,27.61
5.17264,-69.1274,2025-06-24,12:34:56,0.6,6,0.53,7.73,1.32,96.84,6.43,152.14,58.94,7.48,-1.77,993.31,25.68
5.25935,-69.1373,2025-06-24,12:34:56,0.7,8,1.77,8.96,1.54,97.97,31.6,163.44,108.8,153.44,-4.36,980.21,21.19
5.34587,-69.1487,2025-06-24,12:34:56,0.8,8,0.66,10.17,1.75,99.11,170.46,102.23,162,40.74,2.63,982.13,30.66
5.43217,-69.1616,2025-06-24,12:34:56,0.9,12,1.42,11.35,1.97,100.25,51.24,132.3,63.01,29.19,-4.33,991.84,32.11
5.51824,-69.176,2025-06-24,12:34:56,1,11,0.91,12.5,2.19,101.39,80.13,42.57,154.06,113,2.07,984.66,26.18
5.60404,-69.1919,2025-06-24,12:34:56,1.1,7,1.39,13.62,2.4,102.53,143.2,150.42,97.67,137.01,-4.5,1001.95,23.28
5.68956,-69.2093,2025-06-24,12:34:56,1.2,7,1.5,14.69,2.62,103.66,111.52,169.89,99.92,52.29,4,1031.97,28.38
5.77476,-69.2281,2025-06-24,12:34:56,1.3,12,1.18,15.73,2.83,104.8,38.93,136.06,76.9,15.11,4.03,984.41,23.56
5.85961,-69.2485,2025-06-24,12:34:56,1.4,7,1.2,16.73,3.05,105.94,59.69,178.96,131.26,44.8,4.84,1032.41,22.9
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,0.85,17.68,3.26,107.07,72.88,166.91,81,54.02,-0.46,958.46,24.81
6.02819,-69.2937,2025-06-24,12:34:56,1.6,6,1.39,18.58,3.47,108.21,91.26,23.64,157.01,120.67,2.56,978.86,29.86
6.11186,-69.3185,2025-06-24,12:34:56,1.7,6,1.26,19.43,3.68,109.34,88.85,86.02,172.4,63.73,-2.04,1027.36,26.93
